formula_normalized,count,functions,examples
B40*'Grunddaten(3)'!$L$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P40
"IF(B41=0,0,'Grunddaten(3)'!M$11+'Grunddaten(3)'!M$12/B41)",1,IF,Ergeb. (2)!F41
"IF(E41=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E41,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E41,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E41,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E41,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E41,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E41,'Grunddaten(3)'!$F$49*E41)))))))",1,IF,Ergeb. (2)!H41
"ROUND(G41*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I41
"ROUND(H41*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J41
N42-30,1,,Ergeb. (2)!N41
C41*'Grunddaten(3)'!$M$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O41
B41*'Grunddaten(3)'!$M$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P41
"IF(B42=0,0,'Grunddaten(3)'!N$11+'Grunddaten(3)'!N$12/B42)",1,IF,Ergeb. (2)!F42
"IF(E42=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E42,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E42,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E42,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E42,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E42,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E42,'Grunddaten(3)'!$F$49*E42)))))))",1,IF,Ergeb. (2)!H42
"ROUND(G42*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I42
"ROUND(H42*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J42
N43-31,1,,Ergeb. (2)!N42
C42*'Grunddaten(3)'!$N$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O42
B42*'Grunddaten(3)'!$N$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P42
"IF(B43=0,0,'Grunddaten(3)'!O$11+'Grunddaten(3)'!O$12/B43)",1,IF,Ergeb. (2)!F43
"IF(E43=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E43,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E43,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E43,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E43,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E43,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E43,'Grunddaten(3)'!$F$49*E43)))))))",1,IF,Ergeb. (2)!H43
"ROUND(G43*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I43
"ROUND(H43*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J43
N44-31,1,,Ergeb. (2)!N43
C43*'Grunddaten(3)'!$O$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O43
B43*'Grunddaten(3)'!$O$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P43
"IF(B44=0,0,'Grunddaten(3)'!P$11+'Grunddaten(3)'!P$12/B44)",1,IF,Ergeb. (2)!F44
"IF(E44=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E44,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E44,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E44,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E44,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E44,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E44,'Grunddaten(3)'!$F$49*E44)))))))",1,IF,Ergeb. (2)!H44
"ROUND(G44*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I44
"ROUND(H44*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J44
N45-30,1,,Ergeb. (2)!N44
C44*'Grunddaten(3)'!$P$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O44
B44*'Grunddaten(3)'!$P$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P44
"IF(B45=0,0,'Grunddaten(3)'!Q$11+'Grunddaten(3)'!Q$12/B45)",1,IF,Ergeb. (2)!F45
"IF(E45=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E45,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E45,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E45,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E45,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E45,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E45,'Grunddaten(3)'!$F$49*E45)))))))",1,IF,Ergeb. (2)!H45
"ROUND(G45*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I45
"ROUND(H45*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J45
N46-31,1,,Ergeb. (2)!N45
C45*'Grunddaten(3)'!$Q$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O45
B45*'Grunddaten(3)'!$Q$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P45
"IF(B46=0,0,'Grunddaten(3)'!R$11+'Grunddaten(3)'!R$12/B46)",1,IF,Ergeb. (2)!F46
"IF(E46=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E46,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E46,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E46,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E46,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E46,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E46,'Grunddaten(3)'!$F$49*E46)))))))",1,IF,Ergeb. (2)!H46
"ROUND(G46*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I46
"ROUND(H46*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J46
N47-30,1,,Ergeb. (2)!N46
C46*'Grunddaten(3)'!$R$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O46
B46*'Grunddaten(3)'!$R$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!P46
"IF(B47=0,0,'Grunddaten(3)'!S$11+'Grunddaten(3)'!S$12/B47)",1,IF,Ergeb. (2)!F47
"IF(E47=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E47,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E47,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E47,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E47,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E47,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E47,'Grunddaten(3)'!$F$49*E47)))))))",1,IF,Ergeb. (2)!H47
"ROUND(G47*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I47
"ROUND(H47*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J47
N48-31,1,,Ergeb. (2)!N47
C47*'Grunddaten(3)'!$S$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O47
B47*'Grunddaten(3)'!$S$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P47
"IF(B48=0,0,'Grunddaten(3)'!T$11+'Grunddaten(3)'!T$12/B48)",1,IF,Ergeb. (2)!F48
"IF(E48=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E48,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E48,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E48,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E48,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E48,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E48,'Grunddaten(3)'!$F$49*E48)))))))",1,IF,Ergeb. (2)!H48
"ROUND(G48*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I48
"ROUND(H48*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J48
"DATE('Grunddaten(3)'!$F$31+1,12,31)",1,DATE,Ergeb. (2)!N48
C48*'Grunddaten(3)'!$T$11*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O48
B48*'Grunddaten(3)'!$T$11*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P48
'Grunddaten(3)'!F31+1,1,,Ergeb. (2)!A50
"IF(COUNTIF(F37:F48,"">0"")=0,0,SUM(F37:F48)/COUNTIF(F37:F48,"">0""))",1,"COUNTIF, IF, SUM",Ergeb. (2)!F50
D50/B50,1,,Ergeb. (2)!L50
C50/B50,1,,Ergeb. (2)!M50
SUM(O36:O48),1,SUM,Ergeb. (2)!O50
SUM(P37:P49),1,SUM,Ergeb. (2)!P50
O50+'Grunddaten(3)'!V10*12*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!P51
H51*1.19,1,,Ergeb. (2)!H52
(D50+E50)*'Grunddaten(3)'!F64/1000/1000,1,,Ergeb. (2)!C55
H55/L55,1,,Ergeb. (2)!J55
H55*1.19,1,,Ergeb. (2)!H56
(M24+M56)/J55/12,1,,Ergeb. (2)!L56
"IF(B69=0,0,'Grunddaten(3)'!I$14+'Grunddaten(3)'!I$15/B69)",1,IF,Ergeb. (2)!F69
"IF(E69=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E69,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E69,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E69,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E69,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E69,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E69,'Grunddaten(3)'!$F$49*E69)))))))",1,IF,Ergeb. (2)!H69
"ROUND(G69*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I69
"ROUND(H69*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J69
"IF(B69=0,0,D69/B69)",1,IF,Ergeb. (2)!L69
"IF(B69=0,0,C69/B69)",1,IF,Ergeb. (2)!M69
N70-28,1,,Ergeb. (2)!N69
C69*'Grunddaten(3)'!I$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O69
B69*'Grunddaten(3)'!I$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P69
"IF(B70=0,0,'Grunddaten(3)'!J$14+'Grunddaten(3)'!J$15/B70)",1,IF,Ergeb. (2)!F70
"IF(E70=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E70,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E70,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E70,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E70,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E70,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E70,'Grunddaten(3)'!$F$49*E70)))))))",1,IF,Ergeb. (2)!H70
"ROUND(G70*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I70
"ROUND(H70*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J70
N71-31,1,,Ergeb. (2)!N70
C70*'Grunddaten(3)'!J$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O70
B70*'Grunddaten(3)'!J$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P70
"IF(B71=0,0,'Grunddaten(3)'!K$14+'Grunddaten(3)'!K$15/B71)",1,IF,Ergeb. (2)!F71
"IF(E71=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E71,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E71,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E71,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E71,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E71,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E71,'Grunddaten(3)'!$F$49*E71)))))))",1,IF,Ergeb. (2)!H71
"ROUND(G71*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I71
"ROUND(H71*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J71
N72-30,1,,Ergeb. (2)!N71
C71*'Grunddaten(3)'!K$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O71
B71*'Grunddaten(3)'!K$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P71
"IF(B72=0,0,'Grunddaten(3)'!L$14+'Grunddaten(3)'!L$15/B72)",1,IF,Ergeb. (2)!F72
"IF(E72=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E72,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E72,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E72,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E72,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E72,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E72,'Grunddaten(3)'!$F$49*E72)))))))",1,IF,Ergeb. (2)!H72
"ROUND(G72*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I72
"ROUND(H72*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J72
C72*'Grunddaten(3)'!L$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O72
B72*'Grunddaten(3)'!L$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P72
"IF(B73=0,0,'Grunddaten(3)'!M$14+'Grunddaten(3)'!M$15/B73)",1,IF,Ergeb. (2)!F73
"IF(E73=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E73,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E73,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E73,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E73,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E73,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E73,'Grunddaten(3)'!$F$49*E73)))))))",1,IF,Ergeb. (2)!H73
"ROUND(G73*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I73
"ROUND(H73*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J73
N74-30,1,,Ergeb. (2)!N73
C73*'Grunddaten(3)'!M$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O73
B73*'Grunddaten(3)'!M$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P73
"IF(B74=0,0,'Grunddaten(3)'!N$14+'Grunddaten(3)'!N$15/B74)",1,IF,Ergeb. (2)!F74
"IF(E74=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E74,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E74,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E74,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E74,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E74,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E74,'Grunddaten(3)'!$F$49*E74)))))))",1,IF,Ergeb. (2)!H74
"ROUND(G74*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I74
"ROUND(H74*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J74
N75-31,1,,Ergeb. (2)!N74
C74*'Grunddaten(3)'!N$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O74
B74*'Grunddaten(3)'!N$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P74
"IF(B75=0,0,'Grunddaten(3)'!O$14+'Grunddaten(3)'!O$15/B75)",1,IF,Ergeb. (2)!F75
"IF(E75=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E75,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E75,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E75,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E75,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E75,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E75,'Grunddaten(3)'!$F$49*E75)))))))",1,IF,Ergeb. (2)!H75
"ROUND(G75*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I75
"ROUND(H75*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J75
N76-31,1,,Ergeb. (2)!N75
C75*'Grunddaten(3)'!O$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O75
B75*'Grunddaten(3)'!O$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P75
"IF(B76=0,0,'Grunddaten(3)'!P$14+'Grunddaten(3)'!P$15/B76)",1,IF,Ergeb. (2)!F76
"IF(E76=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E76,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E76,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E76,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E76,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E76,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E76,'Grunddaten(3)'!$F$49*E76)))))))",1,IF,Ergeb. (2)!H76
"ROUND(G76*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I76
"ROUND(H76*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J76
N77-30,1,,Ergeb. (2)!N76
C76*'Grunddaten(3)'!P$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O76
B76*'Grunddaten(3)'!P$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P76
"IF(B77=0,0,'Grunddaten(3)'!Q$14+'Grunddaten(3)'!Q$15/B77)",1,IF,Ergeb. (2)!F77
"IF(E77=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E77,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E77,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E77,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E77,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E77,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E77,'Grunddaten(3)'!$F$49*E77)))))))",1,IF,Ergeb. (2)!H77
"ROUND(G77*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I77
"ROUND(H77*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J77
N78-31,1,,Ergeb. (2)!N77
C77*'Grunddaten(3)'!Q$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O77
B77*'Grunddaten(3)'!Q$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P77
"IF(B78=0,0,'Grunddaten(3)'!R$14+'Grunddaten(3)'!R$15/B78)",1,IF,Ergeb. (2)!F78
"IF(E78=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E78,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E78,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E78,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E78,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E78,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E78,'Grunddaten(3)'!$F$49*E78)))))))",1,IF,Ergeb. (2)!H78
"ROUND(G78*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I78
"ROUND(H78*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J78
N79-30,1,,Ergeb. (2)!N78
C78*'Grunddaten(3)'!R$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O78
B78*'Grunddaten(3)'!R$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P78
"IF(B79=0,0,'Grunddaten(3)'!S$14+'Grunddaten(3)'!S$15/B79)",1,IF,Ergeb. (2)!F79
"IF(E79=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E79,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E79,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E79,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E79,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E79,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E79,'Grunddaten(3)'!$F$49*E79)))))))",1,IF,Ergeb. (2)!H79
"ROUND(G79*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I79
"ROUND(H79*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J79
N80-31,1,,Ergeb. (2)!N79
C79*'Grunddaten(3)'!S$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O79
B79*'Grunddaten(3)'!S$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P79
"IF(B80=0,0,'Grunddaten(3)'!T$14+'Grunddaten(3)'!T$15/B80)",1,IF,Ergeb. (2)!F80
"IF(E80=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E80,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E80,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E80,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E80,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E80,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E80,'Grunddaten(3)'!$F$49*E80)))))))",1,IF,Ergeb. (2)!H80
"ROUND(G80*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I80
"ROUND(H80*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J80
"DATE('Grunddaten(3)'!$F$31+2,12,31)",1,DATE,Ergeb. (2)!N80
C80*'Grunddaten(3)'!T$14*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!O80
B80*'Grunddaten(3)'!T$14*(1+'Grunddaten(3)'!F17),1,,Ergeb. (2)!P80
'Grunddaten(3)'!F31+2,1,,Ergeb. (2)!A82
"IF(COUNTIF(F69:F80,"">0"")=0,0,SUM(F69:F80)/COUNTIF(F69:F80,"">0""))",1,"COUNTIF, IF, SUM",Ergeb. (2)!F82
"IF(B82=0,0,D82/B82)",1,IF,Ergeb. (2)!L82
"IF(B82=0,0,C82/B82)",1,IF,Ergeb. (2)!M82
SUM(O69:O81),1,SUM,Ergeb. (2)!O82
O82+'Grunddaten(3)'!V13*12*(1+'Grunddaten(3)'!$F$17),1,,Ergeb. (2)!P83
H83*1.19,1,,Ergeb. (2)!H84
(D82+E82)*'Grunddaten(3)'!F64/1000/1000,1,,Ergeb. (2)!C86
H86/L86,1,,Ergeb. (2)!J86
H86*1.19,1,,Ergeb. (2)!H87
(M24+M56+M87+M151)/J86/12,1,,Ergeb. (2)!L87
"IF($B$101=0,0,'Grunddaten(3)'!I$17+'Grunddaten(3)'!I$18/$B$101)",1,IF,Ergeb. (2)!F101
"IF(E101=0,0,IF('Grunddaten(3)'!$A$55>0,'Grunddaten(3)'!$F$55*E101,IF('Grunddaten(3)'!$A$54>0,'Grunddaten(3)'!$F$54*E101,IF('Grunddaten(3)'!$A$53>0,'Grunddaten(3)'!$F$53*E101,IF('Grunddaten(3)'!$A$52>0,'Grunddaten(3)'!$F$52*E101,IF('Grunddaten(3)'!$A$51>0,'Grunddaten(3)'!$F$51*E101,IF('Grunddaten(3)'!$A$50>0,'Grunddaten(3)'!$F$50*E101,'Grunddaten(3)'!$F$49*E101)))))))",1,IF,Ergeb. (2)!H101
"ROUND(G101*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!I101
"ROUND(H101*'Grunddaten(3)'!$F$17,2)",1,ROUND,Ergeb. (2)!J101
"IF(B101=0,0,D101/B101)",1,IF,Ergeb. (2)!L101
"IF(B101=0,0,C101/B101)",1,IF,Ergeb. (2)!M101
N102-28,1,,Ergeb. (2)!N101
"C101*IF('Grunddaten(3)'!$C$55>0,'Grunddaten(3)'!$D$55*1.19,IF('Grunddaten(3)'!$C$54>0,'Grunddaten(3)'!$D$54*1.19,IF('Grunddaten(3)'!$C$53>0,'Grunddaten(3)'!$D$53*1.19,IF('Grunddaten(3)'!$C$52>0,'Grunddaten(3)'!$D$52*1.19,IF('Grunddaten(3)'!$C$51>0,'Grunddaten(3)'!$D$51*1.19,IF('Grunddaten(3)'!$C$50>0,'Grunddaten(3)'!$D$50*1.19,'Grunddaten(3)'!$D$49*1.19))))))",1,IF,Ergeb. (2)!O101
